Season,AB,PA,H,1B,2B,3B,HR,BB,SO,AVG,BB%,K%,OBP,SLG,OPS,BABIP,wOBA,wRAA,wRC,Pull%,Cent%,Oppo%
2024,16859,18909,4104,2696,763,71,574,1665,3953,0.243430808,0.088053307,0.209053889,0.315783887,0.399252624,0.715036511,0.283102093,0.3120211580814737,28.571132118722716,2240.509488570413,0.43035946,0.34358544,0.2260551
2023,16914,19029,4200,2674,855,97,574,1761,3979,0.248315005,0.09254296,0.209101897,0.322949609,0.412143786,0.735093395,0.29026577,0.3188902094378789,8.056625852393752,2326.6295257080674,0.44042083,0.33338416,0.22619501
2022,18597,20786,4310,2802,902,87,519,1787,4373,0.23175781,0.085971326,0.210381987,0.303697268,0.373339785,0.677037053,0.273837041,0.298083934865313,-193.38629216757977,2183.4190602967387,0.42319423,0.3414668,0.23533897
2021,18048,20321,4311,2722,877,101,611,1888,4426,0.238863031,0.092908813,0.217804241,0.315662174,0.400210549,0.715872723,0.281625818,0.3104358028733928,-67.21354094995316,2392.761153249907,0.42517746,0.33608576,0.23873678
2020,7105,7988,1670,1079,323,38,230,729,1853,0.235045742,0.091261892,0.231972959,0.311699723,0.388318085,0.700017808,0.284023668,0.3049590431740744,-100.45587627230464,901.7374013251225,0.42282384,0.34066554,0.23651062
2019,20111,22438,5248,3306,1067,147,728,1936,4736,0.260951717,0.086282199,0.211070505,0.329101475,0.43722341,0.766324885,0.305570578,0.32359008227510905,69.93980733542497,2893.0357155600077,0.41365591,0.33754733,0.24879677
2018,21580,24278,5283,3374,1098,149,662,2298,5103,0.244810009,0.094653595,0.210190295,0.320224719,0.401529193,0.721753912,0.289282584,0.31334904614288117,-26.114376120976416,2810.3120099671564,0.41355364,0.33908046,0.2473659
2017,21136,23610,5351,3460,1098,132,661,2041,4620,0.253169947,0.086446421,0.195679796,0.321662554,0.411430734,0.733093288,0.292850452,0.3146999926642058,-125.2480073319958,2752.115268106553,0.41009595,0.3416175,0.24828655
2016,20639,23035,5264,3562,984,122,596,1944,4545,0.255051116,0.084393314,0.197308443,0.32243419,0.401182227,0.723616417,0.298389158,0.31337482334176175,-92.34213755901663,2621.2842902776993,0.41630508,0.33789647,0.24579845
2015,20708,22960,5180,3551,1038,112,479,1782,4268,0.250144871,0.07761324,0.185888501,0.312094369,0.380480973,0.692575342,0.29162531,0.3027616014202135,-194.57175449964342,2387.0481930530364,0.40686362,0.34162936,0.25150701